Player,Season,Round,AF
Steven Morris,2016,Round 1,18
Kade Simpson,2016,Round 1,118
Bryce Gibbs,2016,Round 1,127
Sam Docherty,2016,Round 1,99
Marc Murphy,2016,Round 1,126
Patrick Cripps,2016,Round 1,88
Sam Kerridge,2016,Round 1,92
Nicholas Graham,2016,Round 1,92
Edward Curnow,2016,Round 1,68
Zach Tuohy,2016,Round 1,63
Andrejs Everitt,2016,Round 1,78
Jacob Weitering,2016,Round 1,71
Blaine Boekhorst,2016,Round 1,72
Simon White,2016,Round 1,42
Jed Lamb,2016,Round 1,50
Sam Rowe,2016,Round 1,47
Matthew Wright,2016,Round 1,72
Levi Casboult,2016,Round 1,65
Matthew Kreuzer,2016,Round 1,59
Andrew Walker,2016,Round 1,49
Michael Jamison,2016,Round 1,28
Andrew Phillips,2016,Round 1,51
Dylan Buckley,2016,Round 1,24
Jack Viney,2016,Round 1,115
Nathan Jones,2016,Round 1,85
Tom McDonald,2016,Round 1,86
Clayton Oliver,2016,Round 1,61
Bernie Vince,2016,Round 1,85
Ben Kennedy,2016,Round 1,77
Matt Jones,2016,Round 1,80
Jack Watts,2016,Round 1,88
Dom Tyson,2016,Round 1,65
Jesse Hogan,2016,Round 1,99
Aaron Vandenberg,2016,Round 1,67
Neville Jetta,2016,Round 1,70
Christian Salem,2016,Round 1,67
Max Gawn,2016,Round 1,78
Tomas Bugg,2016,Round 1,42
Dean Kent,2016,Round 1,68
Jeff Garlett,2016,Round 1,68
Cameron Pedersen,2016,Round 1,56
Colin Garland,2016,Round 1,63
Oscar McDonald,2016,Round 1,31
James Harmes,2016,Round 1,33
Sam Frost,2016,Round 1,25
Heath Shaw,2016,Round 1,109
Dylan Shiel,2016,Round 1,88
Callan Ward,2016,Round 1,110
Tom Scully,2016,Round 1,100
Steve Johnson,2016,Round 1,93
Nathan Wilson,2016,Round 1,88
Lachie Whitfield,2016,Round 1,82
Joshua Kelly,2016,Round 1,71
Adam Kennedy,2016,Round 1,71
Devon Smith,2016,Round 1,72
Ryan Griffen,2016,Round 1,62
Rhys Palmer,2016,Round 1,48
Phil Davis,2016,Round 1,63
Rory Lobb,2016,Round 1,77
Caleb Marchbank,2016,Round 1,66
Toby Greene,2016,Round 1,56
Shane Mumford,2016,Round 1,52
Jack Steele,2016,Round 1,47
Matthew Buntine,2016,Round 1,40
Adam Tomlinson,2016,Round 1,42
Aidan Corr,2016,Round 1,37
James Stewart,2016,Round 1,15
Aaron Hall,2016,Round 1,125
Gary Ablett,2016,Round 1,134
Matthew Rosa,2016,Round 1,108
Dion Prestia,2016,Round 1,122
Michael Rischitelli,2016,Round 1,100
Alex Sexton,2016,Round 1,96
Jarrod Harbrow,2016,Round 1,65
Jesse Lonergan,2016,Round 1,88
Touk Miller,2016,Round 1,69
Nick Malceski,2016,Round 1,78
Tom Lynch,2016,Round 1,101
Ryan Davis,2016,Round 1,64
Trent McKenzie,2016,Round 1,89
Steven May,2016,Round 1,67
Sam Day,2016,Round 1,68
Clay Cameron,2016,Round 1,71
Adam Saad,2016,Round 1,68
Rory Thompson,2016,Round 1,61
Jack Martin,2016,Round 1,91
Tom Nicholls,2016,Round 1,68
Sean Lemmens,2016,Round 1,30
Callum Ah Chee,2016,Round 1,51
David Zaharakis,2016,Round 1,125
Zachary Merrett,2016,Round 1,119
Mathew Stokes,2016,Round 1,117
James Kelly,2016,Round 1,118
Darcy Parish,2016,Round 1,97
Brendon Goddard,2016,Round 1,76
Jackson Merrett,2016,Round 1,75
Martin Gleeson,2016,Round 1,72
James Gwilt,2016,Round 1,63
Jonathan Simpkin,2016,Round 1,50
Mark Baguley,2016,Round 1,73
Matthew Dea,2016,Round 1,72
Adam Cooney,2016,Round 1,58
Ryan Crowley,2016,Round 1,56
Mitchell Brown,2016,Round 1,52
Kyle Langford,2016,Round 1,43
Patrick Ambrose,2016,Round 1,52
Craig Bird,2016,Round 1,53
Joe Daniher,2016,Round 1,57
Anthony McDonald-Tipungwuti,2016,Round 1,36
Matthew Leuenberger,2016,Round 1,57
Shaun McKernan,2016,Round 1,23
Ben Cunnington,2016,Round 1,92
Jack Ziebell,2016,Round 1,81
Sam Gibson,2016,Round 1,95
Robbie Tarrant,2016,Round 1,90
Nick Dal Santo,2016,Round 1,77
Jarrad Waite,2016,Round 1,117
Daniel Wells,2016,Round 1,95
Shaun Higgins,2016,Round 1,102
Michael Firrito,2016,Round 1,69
Andrew Swallow,2016,Round 1,84
Shaun Atley,2016,Round 1,63
Brent Harvey,2016,Round 1,85
Samuel Wright,2016,Round 1,43
Jamie MacMillan,2016,Round 1,57
Lindsay Thomas,2016,Round 1,69
Todd Goldstein,2016,Round 1,121
Scott Thompson,2016,Round 1,51
Luke McDonald,2016,Round 1,47
Taylor Garner,2016,Round 1,74
Ben Brown,2016,Round 1,68
Drew Petrie,2016,Round 1,43
Jed Anderson,2016,Round 1,17
Scott Thompson,2016,Round 1,89
Brodie Smith,2016,Round 1,83
Rory Laird,2016,Round 1,90
Matt Crouch,2016,Round 1,82
Richard Douglas,2016,Round 1,79
Brad Crouch,2016,Round 1,87
Rory Sloane,2016,Round 1,79
Taylor Walker,2016,Round 1,94
Rory Atkins,2016,Round 1,59
Daniel Talia,2016,Round 1,60
Eddie Betts,2016,Round 1,91
David MacKay,2016,Round 1,59
Luke Brown,2016,Round 1,55
Kyle Cheney,2016,Round 1,40
Tom Lynch,2016,Round 1,58
Paul Seedsman,2016,Round 1,59
Jake Lever,2016,Round 1,30
Sam Jacobs,2016,Round 1,78
Josh Jenkins,2016,Round 1,80
Nathan Van Berlo,2016,Round 1,36
Mitch McGovern,2016,Round 1,52
Wayne Milera,2016,Round 1,32
Luke Parker,2016,Round 1,135
Kieren Jack,2016,Round 1,113
Jake Lloyd,2016,Round 1,110
Tom Mitchell,2016,Round 1,132
Josh P. Kennedy,2016,Round 1,63
Isaac Heeney,2016,Round 1,101
Daniel Hannebery,2016,Round 1,76
Heath Grundy,2016,Round 1,53
Dean Towers,2016,Round 1,69
Lance Franklin,2016,Round 1,91
Callum Mills,2016,Round 1,59
Jeremy Laidler,2016,Round 1,50
Dane Rampe,2016,Round 1,64
Daniel Robinson,2016,Round 1,63
Zak Jones,2016,Round 1,61
George Hewett,2016,Round 1,95
Nick Smith,2016,Round 1,51
Harry Cunningham,2016,Round 1,62
Callum Sinclair,2016,Round 1,60
Tom Papley,2016,Round 1,79
Michael Talia,2016,Round 1,41
Kurt Tippett,2016,Round 1,80
Adam Treloar,2016,Round 1,117
Scott Pendlebury,2016,Round 1,84
Steele Sidebottom,2016,Round 1,87
Taylor Adams,2016,Round 1,95
Levi Greenwood,2016,Round 1,115
Jarryd Blair,2016,Round 1,84
Ben Sinclair,2016,Round 1,70
Jackson Ramsay,2016,Round 1,79
Marley Williams,2016,Round 1,56
Tom Langdon,2016,Round 1,63
Jordan De Goey,2016,Round 1,82
Alex Fasolo,2016,Round 1,54
Jack Crisp,2016,Round 1,66
Jack Frost,2016,Round 1,53
Nathan Brown,2016,Round 1,50
Darcy Moore,2016,Round 1,56
Brent Macaffer,2016,Round 1,40
Jarrod Witts,2016,Round 1,64
Brayden Maynard,2016,Round 1,31
Travis Cloke,2016,Round 1,32
Corey Gault,2016,Round 1,30
Dane Swan,2016,Round 1,0
Jason Johannisen,2016,Round 1,121
Shane Biggs,2016,Round 1,120
Robert Murphy,2016,Round 1,114
Lachlan Hunter,2016,Round 1,108
Jackson Macrae,2016,Round 1,107
Koby Stevens,2016,Round 1,94
Matthew Boyd,2016,Round 1,92
Thomas Liberatore,2016,Round 1,80
Luke Dahlhaus,2016,Round 1,86
Mitchell Wallis,2016,Round 1,69
Easton Wood,2016,Round 1,76
Liam Picken,2016,Round 1,87
Matthew Suckling,2016,Round 1,92
Toby McLean,2016,Round 1,100
Marcus Bontempelli,2016,Round 1,80
Caleb Daniel,2016,Round 1,89
Jake Stringer,2016,Round 1,105
Josh Dunkley,2016,Round 1,71
Marcus Adams,2016,Round 1,67
Jordan Roughead,2016,Round 1,80
Dale Morris,2016,Round 1,46
Thomas Boyd,2016,Round 1,66
Lachie Neale,2016,Round 1,106
Clancee Pearce,2016,Round 1,100
Thomas Sheridan,2016,Round 1,116
Garrick Ibbotson,2016,Round 1,90
Michael Barlow,2016,Round 1,84
David Mundy,2016,Round 1,67
Cameron Sutcliffe,2016,Round 1,88
Lee Spurr,2016,Round 1,79
Danyle Pearce,2016,Round 1,64
Zac Dawson,2016,Round 1,67
Nicholas Suban,2016,Round 1,70
Nathan Fyfe,2016,Round 1,54
Michael Walters,2016,Round 1,69
Stephen Hill,2016,Round 1,48
Tendai Mzungu,2016,Round 1,41
Christopher Mayne,2016,Round 1,34
Hayden Ballantyne,2016,Round 1,56
Matthew Taberner,2016,Round 1,37
Jonathon Griffin,2016,Round 1,37
Zachary Clarke,2016,Round 1,30
Matthew Pavlich,2016,Round 1,37
Lachlan Weller,2016,Round 1,39
Sam Gray,2016,Round 1,118
Jasper Pittard,2016,Round 1,95
Robbie Gray,2016,Round 1,125
Matthew Broadbent,2016,Round 1,91
Brad Ebert,2016,Round 1,124
Hamish Hartlett,2016,Round 1,118
Oliver Wines,2016,Round 1,87
Chad Wingard,2016,Round 1,116
Jackson Trengove,2016,Round 1,80
Jared Polec,2016,Round 1,65
Jay Schulz,2016,Round 1,69
Travis Boak,2016,Round 1,66
Justin Westhoff,2016,Round 1,103
Thomas Jonas,2016,Round 1,71
Brendon Ah Chee,2016,Round 1,57
Charlie Dixon,2016,Round 1,81
Alipate Carlile,2016,Round 1,43
Matthew Lobbe,2016,Round 1,96
Jake Neade,2016,Round 1,54
Jack Hombsch,2016,Round 1,39
Jarman Impey,2016,Round 1,46
Matthew White,2016,Round 1,15
Jack Steven,2016,Round 1,123
Sebastian Ross,2016,Round 1,119
Leigh Montagna,2016,Round 1,112
David Armitage,2016,Round 1,105
Sam Gilbert,2016,Round 1,95
Jack Newnes,2016,Round 1,85
Shane Savage,2016,Round 1,83
Jack Billings,2016,Round 1,74
Blake Acres,2016,Round 1,83
Maverick Weller,2016,Round 1,93
Dylan Roberton,2016,Round 1,63
Tom Hickey,2016,Round 1,120
Jarryn Geary,2016,Round 1,61
Sam Fisher,2016,Round 1,63
Jimmy Webster,2016,Round 1,64
Josh Bruce,2016,Round 1,59
Nick Riewoldt,2016,Round 1,55
Luke Dunstan,2016,Round 1,59
Eli Templeton,2016,Round 1,39
Jack Lonie,2016,Round 1,58
Jade Gresham,2016,Round 1,46
Sean Dempster,2016,Round 1,42
Matthew Priddis,2016,Round 1,137
Andrew Gaff,2016,Round 1,87
Luke Shuey,2016,Round 1,89
Mark Lecras,2016,Round 1,109
Joshua Kennedy,2016,Round 1,180
Jack Redden,2016,Round 1,81
Eric MacKenzie,2016,Round 1,86
Nicholas Naitanui,2016,Round 1,131
Bradley Sheppard,2016,Round 1,84
Elliot Yeo,2016,Round 1,105
Josh Hill,2016,Round 1,97
Sam Butler,2016,Round 1,61
Jamie Bennell,2016,Round 1,81
Jack Darling,2016,Round 1,82
Jamie Cripps,2016,Round 1,95
Liam Duggan,2016,Round 1,70
Jackson Nelson,2016,Round 1,54
Will Schofield,2016,Round 1,37
Scott Lycett,2016,Round 1,51
Xavier Ellis,2016,Round 1,45
Shannon Hurn,2016,Round 1,54
Jeremy McGovern,2016,Round 1,53
Tom Bell,2016,Round 1,88
Daniel Rich,2016,Round 1,123
Mitch Robinson,2016,Round 1,65
Ryan Bastinac,2016,Round 1,80
Stefan Martin,2016,Round 1,79
Tom Rockliff,2016,Round 1,109
Pearce Hanley,2016,Round 1,73
Allen Christensen,2016,Round 1,99
Lewis Taylor,2016,Round 1,88
Sam Mayes,2016,Round 1,59
Ryan Harwood,2016,Round 1,45
Ryan Lester,2016,Round 1,44
Tom Cutler,2016,Round 1,53
Daniel McStay,2016,Round 1,52
Rohan Bewick,2016,Round 1,46
Marco Paparone,2016,Round 1,30
Darcy Gardiner,2016,Round 1,18
Josh Schache,2016,Round 1,69
Claye Beams,2016,Round 1,44
Joshua Walker,2016,Round 1,46
Jonathan Freeman,2016,Round 1,27
Harris Andrews,2016,Round 1,32
Patrick Dangerfield,2016,Round 1,137
Mitchell Duncan,2016,Round 1,102
Joel Selwood,2016,Round 1,85
Corey Enright,2016,Round 1,89
Josh Caddy,2016,Round 1,94
Mark Blicavs,2016,Round 1,91
Cameron Guthrie,2016,Round 1,64
Jimmy Bartel,2016,Round 1,71
Andrew Mackie,2016,Round 1,69
Steven Motlop,2016,Round 1,48
Harry Taylor,2016,Round 1,57
Zac Smith,2016,Round 1,82
Jordan Murdoch,2016,Round 1,74
Darcy Lang,2016,Round 1,74
Cory Gregson,2016,Round 1,63
Lincoln McCarthy,2016,Round 1,64
Jake Kolodjashnij,2016,Round 1,44
Tom Hawkins,2016,Round 1,41
Rhys Stanley,2016,Round 1,75
Shane Kersten,2016,Round 1,32
Lachlan Henderson,2016,Round 1,42
Tom Lonergan,2016,Round 1,44
Sam Mitchell,2016,Round 1,124
Jordan Lewis,2016,Round 1,134
Grant Birchall,2016,Round 1,82
Josh Gibson,2016,Round 1,87
Billy Hartung,2016,Round 1,84
Shaun Burgoyne,2016,Round 1,87
Taylor Duryea,2016,Round 1,75
William Langford,2016,Round 1,93
Luke Hodge,2016,Round 1,71
James Frawley,2016,Round 1,70
Jonathan O'Rourke,2016,Round 1,52
Jack Gunston,2016,Round 1,108
Isaac Smith,2016,Round 1,63
Luke Breust,2016,Round 1,58
Angus Litherland,2016,Round 1,50
Paul Puopolo,2016,Round 1,70
Ben McEvoy,2016,Round 1,80
Cyril Rioli,2016,Round 1,50
Benjamin Stratton,2016,Round 1,21
Marc Pittonet,2016,Round 1,22
James Sicily,2016,Round 1,33
Ryan Schoenmakers,2016,Round 1,11
Adam Treloar,2016,Round 2,97
Scott Pendlebury,2016,Round 2,98
Jackson Ramsay,2016,Round 2,88
Levi Greenwood,2016,Round 2,69
Taylor Adams,2016,Round 2,101
Adam Oxley,2016,Round 2,86
Ben Reid,2016,Round 2,74
Ben Sinclair,2016,Round 2,75
Marley Williams,2016,Round 2,79
Jack Crisp,2016,Round 2,64
Brodie Grundy,2016,Round 2,91
Jarryd Blair,2016,Round 2,79
Alex Fasolo,2016,Round 2,105
Jordan De Goey,2016,Round 2,62
Nathan Brown,2016,Round 2,42
Tom Langdon,2016,Round 2,55
James Aish,2016,Round 2,36
Travis Cloke,2016,Round 2,59
Brent Macaffer,2016,Round 2,46
Jack Frost,2016,Round 2,19
Darcy Moore,2016,Round 2,40
Corey Gault,2016,Round 2,28
Trent Cotchin,2016,Round 2,107
Bachar Houli,2016,Round 2,119
Shaun Grigg,2016,Round 2,99
Dustin Martin,2016,Round 2,114
Brandon Ellis,2016,Round 2,105
Kamdyn Mcintosh,2016,Round 2,101
Anthony Miles,2016,Round 2,79
Jacob Townsend,2016,Round 2,90
Alex Rance,2016,Round 2,54
Nick Vlastuin,2016,Round 2,65
Sam Lloyd,2016,Round 2,72
Connor Menadue,2016,Round 2,67
Kane Lambert,2016,Round 2,90
Jack Riewoldt,2016,Round 2,105
Shaun Hampson,2016,Round 2,64
Tyrone Vickery,2016,Round 2,65
Taylor Hunt,2016,Round 2,41
David Astbury,2016,Round 2,43
Benjamin Griffiths,2016,Round 2,37
Corey Ellis,2016,Round 2,39
Jayden Short,2016,Round 2,41
Dylan Grimes,2016,Round 2,7
Rory Laird,2016,Round 2,136
Scott Thompson,2016,Round 2,119
Luke Brown,2016,Round 2,114
David MacKay,2016,Round 2,86
Matt Crouch,2016,Round 2,81
Brad Crouch,2016,Round 2,79
Tom Lynch,2016,Round 2,132
Rory Sloane,2016,Round 2,67
Brodie Smith,2016,Round 2,78
Wayne Milera,2016,Round 2,88
Paul Seedsman,2016,Round 2,86
Jake Lever,2016,Round 2,79
Eddie Betts,2016,Round 2,100
Sam Jacobs,2016,Round 2,81
Richard Douglas,2016,Round 2,50
Kyle Cheney,2016,Round 2,61
Josh Jenkins,2016,Round 2,97
Rory Atkins,2016,Round 2,51
Kyle Hartigan,2016,Round 2,64
Mitch McGovern,2016,Round 2,63
Taylor Walker,2016,Round 2,50
Daniel Talia,2016,Round 2,46
Robbie Gray,2016,Round 2,127
Oliver Wines,2016,Round 2,124
Travis Boak,2016,Round 2,89
Aaron Young,2016,Round 2,95
Jasper Pittard,2016,Round 2,75
Sam Gray,2016,Round 2,70
Brad Ebert,2016,Round 2,79
Jimmy Toumpas,2016,Round 2,61
Jake Neade,2016,Round 2,46
Brendon Ah Chee,2016,Round 2,73
Alipate Carlile,2016,Round 2,41
Matthew Broadbent,2016,Round 2,49
Thomas Jonas,2016,Round 2,41
Chad Wingard,2016,Round 2,32
Justin Westhoff,2016,Round 2,48
Jackson Trengove,2016,Round 2,37
Jack Hombsch,2016,Round 2,45
Jarman Impey,2016,Round 2,38
Dougal Howard,2016,Round 2,46
Matthew Lobbe,2016,Round 2,67
Charlie Dixon,2016,Round 2,26
Jared Polec,2016,Round 2,14
David Zaharakis,2016,Round 2,126
Zachary Merrett,2016,Round 2,136
James Kelly,2016,Round 2,91
Jackson Merrett,2016,Round 2,112
Brendon Goddard,2016,Round 2,110
James Gwilt,2016,Round 2,92
Orazio Fantasia,2016,Round 2,71
Mark Baguley,2016,Round 2,100
Joe Daniher,2016,Round 2,116
Darcy Parish,2016,Round 2,102
Adam Cooney,2016,Round 2,86
Martin Gleeson,2016,Round 2,95
Anthony McDonald-Tipungwuti,2016,Round 2,81
Matthew Dea,2016,Round 2,69
Mathew Stokes,2016,Round 2,73
Kyle Langford,2016,Round 2,72
Ryan Crowley,2016,Round 2,60
Michael Hartley,2016,Round 2,74
Mitchell Brown,2016,Round 2,61
Patrick Ambrose,2016,Round 2,61
Matthew Leuenberger,2016,Round 2,57
Nicholas Kommer,2016,Round 2,25
Nathan Jones,2016,Round 2,97
Bernie Vince,2016,Round 2,110
Dom Tyson,2016,Round 2,93
Ben Kennedy,2016,Round 2,90
Matt Jones,2016,Round 2,77
Heritier Lumumba,2016,Round 2,46
Jack Viney,2016,Round 2,64
Tomas Bugg,2016,Round 2,65
James Harmes,2016,Round 2,61
Aaron Vandenberg,2016,Round 2,44
Clayton Oliver,2016,Round 2,49
Christian Salem,2016,Round 2,49
Neville Jetta,2016,Round 2,45
Tom McDonald,2016,Round 2,49
Max Gawn,2016,Round 2,61
Cameron Pedersen,2016,Round 2,51
Jack Watts,2016,Round 2,37
Angus Brayshaw,2016,Round 2,36
Jesse Hogan,2016,Round 2,41
Colin Garland,2016,Round 2,34
Jeff Garlett,2016,Round 2,49
Dean Kent,2016,Round 2,10
Pearce Hanley,2016,Round 2,78
Dayne Zorko,2016,Round 2,110
Lewis Taylor,2016,Round 2,105
Ryan Bastinac,2016,Round 2,53
Rohan Bewick,2016,Round 2,76
Stefan Martin,2016,Round 2,97
Tom Cutler,2016,Round 2,59
Allen Christensen,2016,Round 2,67
Claye Beams,2016,Round 2,69
Joshua Green,2016,Round 2,65
Tom Bell,2016,Round 2,50
Harris Andrews,2016,Round 2,57
Ryan Lester,2016,Round 2,42
Joshua Walker,2016,Round 2,69
Darcy Gardiner,2016,Round 2,32
Tom Rockliff,2016,Round 2,24
Josh Schache,2016,Round 2,55
Daniel Rich,2016,Round 2,36
Ryan Harwood,2016,Round 2,16
Sam Mayes,2016,Round 2,42
Daniel Merrett,2016,Round 2,20
Daniel McStay,2016,Round 2,30
Brent Harvey,2016,Round 2,95
Jarrad Waite,2016,Round 2,127
Daniel Wells,2016,Round 2,89
Andrew Swallow,2016,Round 2,74
Jack Ziebell,2016,Round 2,82
Nick Dal Santo,2016,Round 2,67
Shaun Higgins,2016,Round 2,62
Sam Gibson,2016,Round 2,80
Ben Cunnington,2016,Round 2,74
Drew Petrie,2016,Round 2,80
Lindsay Thomas,2016,Round 2,67
Samuel Wright,2016,Round 2,63
Jamie MacMillan,2016,Round 2,55
Ben Brown,2016,Round 2,83
Michael Firrito,2016,Round 2,42
Shaun Atley,2016,Round 2,36
Taylor Garner,2016,Round 2,52
Luke McDonald,2016,Round 2,46
Todd Goldstein,2016,Round 2,62
Robbie Tarrant,2016,Round 2,39
Ben Jacobs,2016,Round 2,25
Lachlan Hansen,2016,Round 2,7
Leigh Montagna,2016,Round 2,98
Jack Steven,2016,Round 2,104
Nick Riewoldt,2016,Round 2,119
David Armitage,2016,Round 2,92
Jack Newnes,2016,Round 2,98
Shane Savage,2016,Round 2,67
Dylan Roberton,2016,Round 2,80
Jack Billings,2016,Round 2,59
Sebastian Ross,2016,Round 2,77
Luke Dunstan,2016,Round 2,68
Maverick Weller,2016,Round 2,68
Sean Dempster,2016,Round 2,47
Jimmy Webster,2016,Round 2,64
Jade Gresham,2016,Round 2,50
Sam Fisher,2016,Round 2,44
Josh Bruce,2016,Round 2,81
Jack Sinclair,2016,Round 2,45
Jack Lonie,2016,Round 2,51
Tom Hickey,2016,Round 2,50
Patrick McCartin,2016,Round 2,46
Jarryn Geary,2016,Round 2,33
Sam Gilbert,2016,Round 2,38
Lachlan Hunter,2016,Round 2,130
Jackson Macrae,2016,Round 2,89
Robert Murphy,2016,Round 2,98
Jason Johannisen,2016,Round 2,113
Liam Picken,2016,Round 2,106
Mitchell Wallis,2016,Round 2,80
Thomas Liberatore,2016,Round 2,83
Matthew Boyd,2016,Round 2,92
Shane Biggs,2016,Round 2,94
Marcus Adams,2016,Round 2,101
Koby Stevens,2016,Round 2,81
Marcus Bontempelli,2016,Round 2,66
Matthew Suckling,2016,Round 2,91
Toby McLean,2016,Round 2,87
Easton Wood,2016,Round 2,70
Caleb Daniel,2016,Round 2,78
Jake Stringer,2016,Round 2,88
Dale Morris,2016,Round 2,68
Luke Dahlhaus,2016,Round 2,86
Josh Dunkley,2016,Round 2,50
Thomas Boyd,2016,Round 2,58
Jordan Roughead,2016,Round 2,76
Nathan Fyfe,2016,Round 2,121
Stephen Hill,2016,Round 2,111
Lachie Neale,2016,Round 2,98
David Mundy,2016,Round 2,80
Matthew Pavlich,2016,Round 2,84
Michael Johnson,2016,Round 2,66
Danyle Pearce,2016,Round 2,67
Michael Walters,2016,Round 2,90
Clancee Pearce,2016,Round 2,57
Michael Barlow,2016,Round 2,59
Thomas Sheridan,2016,Round 2,54
Christopher Mayne,2016,Round 2,80
Lee Spurr,2016,Round 2,69
Nicholas Suban,2016,Round 2,58
Ed Langdon,2016,Round 2,56
Lachlan Weller,2016,Round 2,44
Cameron Sutcliffe,2016,Round 2,44
Hayden Ballantyne,2016,Round 2,50
Garrick Ibbotson,2016,Round 2,26
Alex Pearce,2016,Round 2,29
Aaron Sandilands,2016,Round 2,72
Zac Dawson,2016,Round 2,10
Aaron Hall,2016,Round 2,126
Alex Sexton,2016,Round 2,84
Dion Prestia,2016,Round 2,84
Gary Ablett,2016,Round 2,97
Jarrod Harbrow,2016,Round 2,84
